旧值,新值,旧翻译,新翻译
2ターンごとのターン終了時、除外にあるスキルカードが8枚以下の場合、,2ターンごとのターン終了時、除外にあるスキルカードが<nobr>8枚以下</nobr>の場合、,每2回合的回合结束时，除外中的技能卡在8张以下的时候，,
除外にあるスキルカードが8枚以下の場合、使用可,除外にあるスキルカードが<nobr>8枚以下</nobr>の場合、使用可,除外中的技能卡在8张以下的时候，可以使用,
除外にあるスキルカードが8枚以下の場合、,除外にあるスキルカードが<nobr>8枚以下</nobr>の場合、,除外中的技能卡在8张以下的时候，,
が230以上の場合、,が<nobr>230以上</nobr>の場合、,在230以上的时候，,
が230以上の場合、使用可,が<nobr>230以上</nobr>の場合、使用可,在230以上的时候，可以使用,
が50以上の場合、,が<nobr>50以上</nobr>の場合、,在50以上的时候，,
が50以上の場合、使用可,が<nobr>50以上</nobr>の場合、使用可,在50以上的时候，可以使用,
が20以上の場合、,が<nobr>20以上</nobr>の場合、,在20以上的时候，,
が20以上の場合、使用可,が<nobr>20以上</nobr>の場合、使用可,在20以上的时候，可以使用,
が11以下の場合、,が<nobr>11以下</nobr>の場合、,在11以下的时候，,
が11以下の場合、使用可,が<nobr>11以下</nobr>の場合、使用可,在11以下的时候，可以使用,
が4以下の場合、,が<nobr>4以下</nobr>の場合、,在4以下的时候，,
が4以下の場合、使用可,が<nobr>4以下</nobr>の場合、使用可,在4以下的时候，可以使用,
が6以下の場合、,が<nobr>6以下</nobr>の場合、,在6以下的时候，,
が6以下の場合、使用可,が<nobr>6以下</nobr>の場合、使用可,在6以下的时候，可以使用,
が5以下の場合、,が<nobr>5以下</nobr>の場合、,在5以下的时候，,
が5以下の場合、使用可,が<nobr>5以下</nobr>の場合、使用可,在5以下的时候，可以使用,
が12ターン以上の場合、,が<nobr>12ターン以上</nobr>の場合、,在12回合以上的时候，,
が12ターン以上の場合、使用可,が<nobr>12ターン以上</nobr>の場合、使用可,在12回合以上的时候，可以使用,
が15ターン以上の場合、,が<nobr>15ターン以上</nobr>の場合、,在15回合以上的时候，,
が15ターン以上の場合、使用可,が<nobr>15ターン以上</nobr>の場合、使用可,在15回合以上的时候，可以使用,
残り2ターン以内のターン終了時、,残り<nobr>2ターン以内</nobr>のターン終了時、,剩余2回合内的回合结束时，,
残り2ターン以内の場合、使用可,残り<nobr>2ターン以内</nobr>の場合、使用可,剩余2回合内的时候，可以使用,
残り2ターン以内の場合、,残り<nobr>2ターン以内</nobr>の場合、,剩余2回合内的时候，,
残り3ターン以内のターン終了時、,残り<nobr>3ターン以内</nobr>のターン終了時、,剩余3回合内的回合结束时，,
が55以上の場合、,が<nobr>55以上</nobr>の場合、,在55以上的时候，,
が55以上の場合、使用可,が<nobr>55以上</nobr>の場合、使用可,在55以上的时候，可以使用,
ターン終了時、体力が4%以下の場合、,ターン終了時、体力が<nobr>4%以下</nobr>の場合、,回合结束时，体力在4%以下的时候，,
体力が4%以下の場合、使用可,体力が<nobr>4%以下</nobr>の場合、使用可,体力在4%以下的时候，可以使用,
体力が4%以下の場合、,体力が<nobr>4%以下</nobr>の場合、,体力在4%以下的时候，,
ターン終了時、体力が10%以上の場合、,ターン終了時、体力が<nobr>10%以上</nobr>の場合、,回合结束时，体力在10%以上的时候，,
体力が10%以上の場合、使用可,体力が<nobr>10%以上</nobr>の場合、使用可,体力在10%以上的时候，可以使用,
体力が10%以上の場合、,体力が<nobr>10%以上</nobr>の場合、,体力在10%以上的时候，,
ターン終了時、体力が13%以上の場合、,ターン終了時、体力が<nobr>13%以上</nobr>の場合、,回合结束时，体力在13%以上的时候，,
体力が13%以上の場合、使用可,体力が<nobr>13%以上</nobr>の場合、使用可,体力在13%以上的时候，可以使用,
体力が13%以上の場合、,体力が<nobr>13%以上</nobr>の場合、,体力在13%以上的时候，,
ターン終了時、体力が50%以上の場合、,ターン終了時、体力が<nobr>50%以上</nobr>の場合、,回合结束时，体力在50%以上的时候，,
ターン終了時、体力が6%以上の場合、,ターン終了時、体力が<nobr>6%以上</nobr>の場合、,回合结束时，体力在6%以上的时候，,
体力が6%以上の場合、使用可,体力が<nobr>6%以上</nobr>の場合、使用可,体力在6%以上的时候，可以使用,
体力が6%以上の場合、,体力が<nobr>6%以上</nobr>の場合、,体力在6%以上的时候，,
が20ターン以下の場合、スキルカード使用後2回ごとに、,が<nobr>20ターン以下</nobr>の場合、スキルカード使用後2回ごとに、,在20回合以下的时候，每使用2次技能卡后，,
が20ターン以下の場合、使用可,が<nobr>20ターン以下</nobr>の場合、使用可,在20回合以下的时候，可以使用,
が20ターン以下の場合、,が<nobr>20ターン以下</nobr>の場合、,在20回合以下的时候，,
が3以上の場合、スキルカードを2回使用するごとに、,が<nobr>3以上</nobr>の場合、スキルカードを2回使用するごとに、,在3以上的时候，每使用2次技能卡，,
が8以上の場合、スキルカードを2回使用するごとに、,が<nobr>8以上</nobr>の場合、スキルカードを2回使用するごとに、,在8以上的时候，每使用2次技能卡，,
体力が50%以下の場合、スキルカードを2回使用するごとに、,体力が<nobr>50%以下</nobr>の場合、スキルカードを2回使用するごとに、,体力在50%以下，每使用2次技能卡，,
体力が50%以上の場合、スキルカードを2回使用するごとに、,体力が<nobr>50%以上</nobr>の場合、スキルカードを2回使用するごとに、,体力在50%以上，每使用2次技能卡，,
体力が50%以上の場合、スキルカードを3回使用するごとに、,体力が<nobr>50%以上</nobr>の場合、スキルカードを3回使用するごとに、,体力在50%以上，每使用3次技能卡，,
が6以上の場合、ターン内にスキルカードを2回使用するごとに、,が<nobr>6以上</nobr>の場合、ターン内にスキルカードを2回使用するごとに、,在15以上的时候，回合内每使用2次技能卡，,
が1枚以上の場合、,が<nobr>1枚以上</nobr>の場合、,在1张以上的时候，,
が1枚以上の場合、使用可,が<nobr>1枚以上</nobr>の場合、使用可,在1张以上的时候，可以使用,
になった回数が1回以上の場合、,になった回数が<nobr>1回以上</nobr>の場合、,存在次数在1次以上的时候，,
になった回数が1回以上の場合、使用可,になった回数が<nobr>1回以上</nobr>の場合、使用可,存在次数在1次以上的时候，可以使用,
開始時、スキルカード（R以上）が21枚以上の場合、,開始時、スキルカード（R以上）が<nobr>21枚以上</nobr>の場合、,开始时，技能卡（R以上）在21张以上的时候，,
スキルカード（R以上）が21枚以上の場合、使用可,スキルカード（R以上）が<nobr>21枚以上</nobr>の場合、使用可,技能卡（R以上）在21张以上的时候，可以使用,
スキルカード（R以上）が21枚以上の場合、,スキルカード（R以上）が<nobr>21枚以上</nobr>の場合、,技能卡（R以上）在21张以上的时候，,
開始時、体力が80%以上の場合、,開始時、体力が<nobr>80%以上</nobr>の場合、,开始时，体力在80%以上的时候，,
が14以上の場合、,が<nobr>14以上</nobr>の場合、,在14以上的时候，,
が14以上の場合、使用可,が<nobr>14以上</nobr>の場合、使用可,在14以上的时候，可以使用,
が80以上の場合、,が<nobr>80以上</nobr>の場合、,在80以上的时候，,
が80以上の場合、使用可,が<nobr>80以上</nobr>の場合、使用可,在80以上的时候，可以使用,
ターン開始時、除外にあるスキルカードが7枚以上の場合、,ターン開始時、除外にあるスキルカードが<nobr>7枚以上</nobr>の場合、,回合开始时，除外中的技能卡在7张以上的时候，,
除外にあるスキルカードが7枚以上の場合、使用可,除外にあるスキルカードが<nobr>7枚以上</nobr>の場合、使用可,除外中的技能卡在7张以上的时候，可以使用,
除外にあるスキルカードが7枚以上の場合、,除外にあるスキルカードが<nobr>7枚以上</nobr>の場合、,除外中的技能卡在7张以上的时候，,
が7枚以上の場合、,が<nobr>7枚以上</nobr>の場合、,在7张以上的时候，,
が7枚以上の場合、使用可,が<nobr>7枚以上</nobr>の場合、使用可,在7张以上的时候，可以使用,
になった回数が2回以上の場合、,になった回数が<nobr>2回以上</nobr>の場合、,存在次数在2次以上的时候，,
になった回数が2回以上の場合、使用可,になった回数が<nobr>2回以上</nobr>の場合、使用可,存在次数在2次以上的时候，可以使用,
になった回数が3回以上の場合、,になった回数が<nobr>3回以上</nobr>の場合、,存在次数在3次以上的时候，,
になった回数が3回以上の場合、使用可,になった回数が<nobr>3回以上</nobr>の場合、使用可,存在次数在3次以上的时候，可以使用,
になった回数が4回以上の場合、,になった回数が<nobr>4回以上</nobr>の場合、,存在次数在4次以上的时候，,
になった回数が4回以上の場合、使用可,になった回数が<nobr>4回以上</nobr>の場合、使用可,存在次数在4次以上的时候，可以使用,
100%,<nobr>,100%,
以下の場合、,100%,以下的时候，,
以下の場合、使用可,100%,以下的时候，可以使用,
が18以上の場合、,が<nobr>18以上</nobr>の場合、,在18以上的时候，,
が18以上の場合、使用可,が<nobr>18以上</nobr>の場合、使用可,在18以上的时候，可以使用,
が25以上の場合、,が<nobr>25以上</nobr>の場合、,在25以上的时候，,
が25以上の場合、使用可,が<nobr>25以上</nobr>の場合、使用可,在25以上的时候，可以使用,
残り2ターン以内のターン開始時、,残り<nobr>2ターン以内</nobr>のターン開始時、,剩余2回合内的回合开始时，,
残り3ターン以内のターン開始時、,残り<nobr>3ターン以内</nobr>のターン開始時、,剩余3回合内的回合开始时，,
残り4ターン以内のターン開始時、,残り<nobr>4ターン以内</nobr>のターン開始時、,剩余4回合内的回合开始时，,
残り4ターン以内の場合、使用可,残り<nobr>4ターン以内</nobr>の場合、使用可,剩余4回合内的时候，可以使用,
残り4ターン以内の場合、,残り<nobr>4ターン以内</nobr>の場合、,剩余4回合内的时候，,
残り5ターン以内のターン開始時、,残り<nobr>5ターン以内</nobr>のターン開始時、,剩余5回合内的回合开始时，,
残り5ターン以内の場合、使用可,残り<nobr>5ターン以内</nobr>の場合、使用可,剩余5回合内的时候，可以使用,
残り5ターン以内の場合、,残り<nobr>5ターン以内</nobr>の場合、,剩余5回合内的时候，,
残り6ターン以内のターン開始時、,残り<nobr>6ターン以内</nobr>のターン開始時、,剩余6回合内的回合开始时，,
残り6ターン以内の場合、使用可,残り<nobr>6ターン以内</nobr>の場合、使用可,剩余6回合内的时候，可以使用,
残り6ターン以内の場合、,残り<nobr>6ターン以内</nobr>の場合、,剩余6回合内的时候，,
ターン開始時、体力が50%以下の場合、,ターン開始時、体力が<nobr>50%以下</nobr>の場合、,回合开始时，体力在50%以下的时候，,
ターン開始時、体力が50%以上の場合、,ターン開始時、体力が<nobr>50%以上</nobr>の場合、,回合开始时，体力在50%以上的时候，,
ターン開始時、体力が80%以上の場合、,ターン開始時、体力が<nobr>80%以上</nobr>の場合、,回合开始时，体力在80%以上的时候，,
が増加後、体力が50%以上の場合、,が増加後、体力が<nobr>50%以上</nobr>の場合、,增加后，体力在50%以上的时候，,
2ターンごとに、体力が50%以上の場合、,2ターンごとに、体力が<nobr>50%以上</nobr>の場合、,每2回合，体力在50%以上的时候，,
3ターンごとに、体力が50%以上の場合、,3ターンごとに、体力が<nobr>50%以上</nobr>の場合、,每3回合，体力在50%以上的时候，,
が9以上の場合、,が<nobr>9以上</nobr>の場合、,在9以上的时候，,
が9以上の場合、使用可,が<nobr>9以上</nobr>の場合、使用可,在9以上的时候，可以使用,
が2枚以上の場合、,が<nobr>2枚以上</nobr>の場合、,在2张以上的时候，,
が2枚以上の場合、使用可,が<nobr>2枚以上</nobr>の場合、使用可,在2张以上的时候，可以使用,
が3枚以上の場合、,が<nobr>3枚以上</nobr>の場合、,在3张以上的时候，,
が3枚以上の場合、使用可,が<nobr>3枚以上</nobr>の場合、使用可,在3张以上的时候，可以使用,
除外にあるスキルカードが4枚以上の場合、,除外にあるスキルカードが<nobr>4枚以上</nobr>の場合、,除外中的技能卡在4张以上的时候，,
除外にあるスキルカードが4枚以上の場合、使用可,除外にあるスキルカードが<nobr>4枚以上</nobr>の場合、使用可,除外中的技能卡在4张以上的时候，可以使用,
山札か捨札にあるスキルカードが6枚以上の場合、,山札か捨札にあるスキルカードが<nobr>6枚以上</nobr>の場合、,牌堆或弃牌中的技能卡在6张以上的时候，,
山札か捨札にあるスキルカードが6枚以上の場合、使用可,山札か捨札にあるスキルカードが<nobr>6枚以上</nobr>の場合、使用可,牌堆或弃牌中的技能卡在6张以上的时候，，可以使用,
山札か捨札にあるスキルカードが9枚以上の場合、,山札か捨札にあるスキルカードが<nobr>9枚以上</nobr>の場合、,牌堆或弃牌中的技能卡在9张以上的时候，,
山札か捨札にあるスキルカードが9枚以上の場合、使用可,山札か捨札にあるスキルカードが<nobr>9枚以上</nobr>の場合、使用可,牌堆或弃牌中的技能卡在9张以上的时候，可以使用,
が8以下の場合、,が<nobr>8以下</nobr>の場合、,在8以下的时候，,
が8以下の場合、使用可,が<nobr>8以下</nobr>の場合、使用可,在8以下的时候，可以使用,
が15以下の場合、,が<nobr>15以下</nobr>の場合、,在15以下的时候，,
が15以下の場合、使用可,が<nobr>15以下</nobr>の場合、使用可,在15以下的时候，可以使用,
が15ターン以下の場合、,が<nobr>15ターン以下</nobr>の場合、,在15回合以下的时候，,
が15ターン以下の場合、使用可,が<nobr>15ターン以下</nobr>の場合、使用可,在15回合以下的时候，可以使用,
が1ターン以上の場合、,が<nobr>1ターン以上</nobr>の場合、,在1回合以上的时候，,
が1ターン以上の場合、使用可,が<nobr>1ターン以上</nobr>の場合、使用可,在1回合以上的时候，可以使用,
が2ターン以上の場合、,が<nobr>2ターン以上</nobr>の場合、,在2回合以上的时候，,
が2ターン以上の場合、使用可,が<nobr>2ターン以上</nobr>の場合、使用可,在2回合以上的时候，可以使用,
ターン開始後、手札にあるスキルカード（R）が1枚以上の場合、,ターン開始後、手札にあるスキルカード（R）が<nobr>1枚以上</nobr>の場合、,回合开始后，手牌中的技能卡（R）在1张以上的时候，,
手札にあるスキルカード（R）が1枚以上の場合、使用可,手札にあるスキルカード（R）が<nobr>1枚以上</nobr>の場合、使用可,手牌中的技能卡（R）在1张以上的时候，可以使用,
手札にあるスキルカード（R）が1枚以上の場合、,手札にあるスキルカード（R）が<nobr>1枚以上</nobr>の場合、,手牌中的技能卡（R）在1张以上的时候，,
ターン開始後、山札か捨札にあるスキルカードが12枚以上の場合、,ターン開始後、山札か捨札にあるスキルカードが<nobr>12枚以上</nobr>の場合、,回合开始后，牌堆或弃牌中的技能卡在12张以上的时候，,
山札か捨札にあるスキルカードが12枚以上の場合、使用可,山札か捨札にあるスキルカードが<nobr>12枚以上</nobr>の場合、使用可,牌堆或弃牌中的技能卡在12张以上的时候，可以使用,
山札か捨札にあるスキルカードが12枚以上の場合、,山札か捨札にあるスキルカードが<nobr>12枚以上</nobr>の場合、,牌堆或弃牌中的技能卡在12张以上的时候，,
ターン開始後、山札か捨札にあるスキルカードが18枚以上の場合、,ターン開始後、山札か捨札にあるスキルカードが<nobr>18枚以上</nobr>の場合、,回合开始后，牌堆或弃牌中的技能卡在18张以上的时候，,
山札か捨札にあるスキルカードが18枚以上の場合、使用可,山札か捨札にあるスキルカードが<nobr>18枚以上</nobr>の場合、使用可,牌堆或弃牌中的技能卡在18张以上的时候，可以使用,
山札か捨札にあるスキルカードが18枚以上の場合、,山札か捨札にあるスキルカードが<nobr>18枚以上</nobr>の場合、,牌堆或弃牌中的技能卡在18张以上的时候，,
残り2ターン以内のターン開始後、,残り<nobr>2ターン以内</nobr>のターン開始後、,剩余2回合内的回合开始后，,
残り3ターン以内のターン開始後、,残り<nobr>3ターン以内</nobr>のターン開始後、,剩余3回合内的回合开始后，,
ターン開始後、体力が25%以下の場合、,ターン開始後、体力が<nobr>25%以下</nobr>の場合、,回合开始后，体力在25%以下的时候，,
体力が25%以下の場合、使用可,体力が<nobr>25%以下</nobr>の場合、使用可,体力在25%以下的时候，可以使用,
体力が25%以下の場合、,体力が<nobr>25%以下</nobr>の場合、,体力在25%以下的时候，,
ターン開始後、体力が50%以下の場合、,ターン開始後、体力が<nobr>50%以下</nobr>の場合、,回合开始后，体力在50%以下的时候，,
