旧值,新值,旧翻译,新翻译
<nobr>,ターン</nobr>後、,<nobr>,
スキルカードを引く,5,抽取技能卡,
スキルカードを引く,7,抽取技能卡,
スキルカードを引く,8,抽取技能卡,
手札をすべて,スキルカードを引く,全部手牌在,
レッスン中強化,スキルカードを引く,训练中强化,
<nobr>,手札をすべて,<nobr>,
重複不可,レッスン中強化,不可重复,
手札をすべて,<nobr>,全部手牌在,
レッスン中強化,2,训练中强化,
 ,ターン</nobr>後、, ,
<nobr>,消費体力削減,<nobr>,
1,<nobr>,1,
スキルカード使用数追加,</nobr>,技能卡使用数追加,
<nobr>,消費体力減少,<nobr>,
2,<nobr>,2,
ターン</nobr>,2,回合</nobr>,
4,<nobr>,4,
ターン</nobr>,4,回合</nobr>,
<nobr>,低下状態無効,<nobr>,
回</nobr>,1,次</nobr>,
スキルカード使用数追加,スキルカードを引く,技能卡使用数追加,
スキルカード使用数追加,枚</nobr>引く,技能卡使用数追加,
スキルカードを<nobr>,回</nobr>,技能卡抽取<nobr>,
スキルカード使用数追加,2,技能卡使用数追加,
<nobr>+,枚</nobr>引く,<nobr>+,
<nobr>,1,<nobr>,
重複不可,</nobr>,不可重复,
消費体力減少,+,消耗体力减少,
次のターン、,<nobr>,下个回合，,
 ,ターン</nobr>, ,
<nobr>,5,<nobr>,
<nobr>,7,<nobr>,
<nobr>,8,<nobr>,
眠気,ランダムな山札か捨札の,睡意,
を,眠気,向,
除外,を,除外,
に移動,除外,中移动,
以降、,</nobr>,以后，,
<nobr>+,以降、,<nobr>+,
4,スキルカードを5回使用するごとに、,4,
</nobr>,パラメータ,</nobr>,
0,次に使用したスキルカードの消費体力を<nobr>,0,
</nobr>にする（<nobr>,0,</nobr>（<nobr>,
1,</nobr>にする（<nobr>,1,
回</nobr>）,1,次</nobr>）,
</nobr>にする（<nobr>,次に使用したスキルカードの消費体力を<nobr>,</nobr>（<nobr>,
1,0,1,
回</nobr>）,</nobr>にする（<nobr>,次</nobr>）,
スキルカードを引く,回</nobr>）,抽取技能卡,
<nobr>+,スキルカードを引く,<nobr>+,
<nobr>+,固定元気,<nobr>+,
5,<nobr>+,5,
<nobr>+,体力が<nobr>50%以上</nobr>の場合、,<nobr>+,
10,<nobr>+,10,
</nobr>,10,</nobr>,
12,<nobr>+,12,
</nobr>,12,</nobr>,
14,<nobr>+,14,
</nobr>,14,</nobr>,
25,+,25,
37,+,37,
44,+,44,
50,+,50,
（,8,（,
（,10,（,
（,11,（,
が2ターン以上の場合、使用可,が<nobr>2ターン以上</nobr>の場合、使用可,在2回合以上的时候，可以使用,
</nobr>（,<nobr>+,</nobr>（,
好調,10,好调,
効果を<nobr>2倍</nobr>適用）,</nobr>（,效果会<nobr>2倍</nobr>生效）,
15,パラメータ,15,
好調,15,好调,
2,好調,2,
3,好調,3,
2,集中,2,
3,集中,3,
が3以上の場合、使用可,が<nobr>3以上</nobr>の場合、使用可,在3以上的时候，可以使用,
（,5,（,
16,+,16,
19,+,19,
22,+,22,
21,+,21,
<nobr>+,パラメータ,<nobr>+,
17,<nobr>+,17,
</nobr>（,17,</nobr>（,
集中,</nobr>（,集中,
効果を<nobr>1.5倍</nobr>適用）,集中,效果会<nobr>1.5倍</nobr>生效）,
23,<nobr>+,23,
</nobr>（,23,</nobr>（,
効果を<nobr>2倍</nobr>適用）,集中,效果会<nobr>2倍</nobr>生效）,
24,<nobr>+,24,
</nobr>（,24,</nobr>（,
27,+,27,
38,+,38,
集中,好調,集中,
<nobr>+,状態の場合、,<nobr>+,
4,集中,4,
3,絶好調,3,
4,絶好調,4,
除外以外にある,</nobr>,除外以外中的,
パラメータ,除外以外にある,打分,
<nobr>+,トラブルカード,<nobr>+,
3,が<nobr>2枚以上</nobr>の場合、,3,
除外以外にある,ターン</nobr>,除外以外中的,
4,が<nobr>2枚以上</nobr>の場合、,4,
好調,</nobr>,好调,
ターン</nobr>,好調,回合</nobr>,
の<nobr>,好調,的<nobr>,
450,の<nobr>,450,
%</nobr>分,450,%</nobr>数值变为,
パラメータ,%</nobr>分,打分,
上昇,パラメータ,上升,
パラメータ,集中,打分,
<nobr>+,が<nobr>6以上</nobr>の場合、,<nobr>+,
40,パラメータ,40,
好調,40,好调,
効果を<nobr>3倍</nobr>適用）,</nobr>（,效果会<nobr>3倍</nobr>生效）,
スキルカードを<nobr>,集中,技能卡抽取<nobr>,
2,が<nobr>10以上</nobr>の場合、,2,
4,<nobr>+,4,
</nobr>（,4,</nobr>（,
効果を<nobr>3.5倍</nobr>適用）,集中,效果会<nobr>3.5倍</nobr>生效）,
3,山札か捨札にあるスキルカードが<nobr>9枚以上</nobr>の場合、,3,
ターン</nobr>の間、,以降の<nobr>,回合</nobr>中，,
ターン開始時、,3,回合开始时，,
好調,ターン</nobr>の間、,好调,
<nobr>,ターン開始時、,<nobr>,
1,好調,1,
・,1,・,
集中,ターン</nobr>,集中,
<nobr>+,・,<nobr>+,
1,集中,1,
スキルカードを<nobr>,</nobr>,技能卡抽取<nobr>,
2,・,2,
・,2,・,
重複不可,<nobr>,不可重复,
 </nobr>,重複不可, </nobr>,
<nobr>,絶好調,<nobr>,
7,<nobr>,7,
ターン</nobr>,7,回合</nobr>,
が5ターン以上の場合、,以降、,在5回合以上的时候，,
パラメータ,スキルカード使用後、,打分,
<nobr>+,絶好調,<nobr>+,
2,が<nobr>5ターン以上</nobr>の場合、,2,
</nobr>（,パラメータ,</nobr>（,
集中,<nobr>+,集中,
効果を<nobr>2倍</nobr>適用）,2,效果会<nobr>2倍</nobr>生效）,
・,集中,・,
絶好調減少,効果を<nobr>2倍</nobr>適用）,绝好调减少,
1,・,1,
</nobr>,絶好調減少,</nobr>,
30,+,30,
消費体力増加,+,消耗体力增加,
<nobr>,10,<nobr>,
重複不可,ターン</nobr>,不可重复,
40,+,40,
45,+,45,
18,+,18,
28,+,28,
29,+,29,
4,好調,4,
集中,+,集中,
<nobr>+,7,<nobr>+,
消費体力増加,<nobr>+,消耗体力增加,
重複不可,2,不可重复,
 </nobr>,ターン</nobr>, </nobr>,
26,+,26,
46,+,46,
52,+,52,
30,パラメータ,30,
好調,30,好调,
ターン</nobr>,元気増加無効,回合</nobr>,
45,パラメータ,45,
好調,45,好调,
20,+,20,
48,パラメータ,48,
好調,48,好调,
が8ターン以上の場合、使用可,が<nobr>8ターン以上</nobr>の場合、使用可,在8回合以上的时候，可以使用,
5,集中,5,
以降の<nobr>,</nobr>,在之后的<nobr>,
ターン開始時、,以降の<nobr>,回合开始时，,
パラメータ,3,打分,
<nobr>+,ターン</nobr>の間、,<nobr>+,
5,ターン開始時、,5,
7,集中,7,
パラメータ,4,打分,
9,集中,9,
7,ターン開始時、,7,
10,集中,10,
38,次のターン、,38,
 ,38, ,
2, ,2,
<nobr>+,<nobr>,<nobr>+,
21,2,21,
</nobr>（,ターン</nobr>後、,</nobr>（,
好調,パラメータ,好调,
効果を<nobr>2倍</nobr>適用）,<nobr>+,效果会<nobr>2倍</nobr>生效）,
 ,</nobr>（, ,
47,次のターン、,47,
 ,47, ,
56,次のターン、,56,
 ,56, ,
65,次のターン、,65,
 ,65, ,
<nobr>,好調,<nobr>,
<nobr>+,次のターン、,<nobr>+,
32,パラメータ,32,
 ,</nobr>, ,
44,パラメータ,44,
46,パラメータ,46,
<nobr>+,が<nobr>3以上</nobr>の場合、,<nobr>+,
34,パラメータ,34,
集中,34,集中,
効果を<nobr>1.5倍</nobr>適用）,</nobr>（,效果会<nobr>1.5倍</nobr>生效）,
54,+,54,
63,+,63,
71,+,71,
（,3,（,
6,集中,6,
8,集中,8,
アクティブスキルカード,以降、,主动技能卡,
使用時、,アクティブスキルカード,使用时，,
パラメータ,使用時、,打分,
</nobr>,4,</nobr>,
スキルカードを引く,次のターン、,抽取技能卡,
 ,スキルカードを引く, ,
使用時、,以降、,使用时，,
パラメータ,アクティブスキルカード,打分,
<nobr>+,使用時、,<nobr>+,
5,パラメータ,5,
レッスン中1回, </nobr>,训练中仅限1次,
以降、, ,以后，,
パラメータ,以降、,打分,
<nobr>+,アクティブスキルカード,<nobr>+,
5,使用時、,5,
37,パラメータ,37,
好調,37,好调,
%</nobr>（<nobr>,パラメータ上昇量増加,%</nobr>（<nobr>,
ターン</nobr>）,30,回合</nobr>）,
<nobr>,ターン</nobr>）,<nobr>,
50,パラメータ,50,
好調,50,好调,
効果を<nobr>2.5倍</nobr>適用）,</nobr>（,效果会<nobr>2.5倍</nobr>生效）,
53,パラメータ,53,
好調,53,好调,
60,パラメータ,60,
好調,60,好调,
効果を<nobr>3.5倍</nobr>適用）,</nobr>（,效果会<nobr>3.5倍</nobr>生效）,
<nobr>+,集中,<nobr>+,
7,<nobr>+,7,
</nobr>,7,</nobr>,
<nobr>+,好調,<nobr>+,
5,が<nobr>20ターン以下</nobr>の場合、スキルカード使用後2回ごとに、,5,
効果を<nobr>3倍</nobr>適用）,5,效果会<nobr>3倍</nobr>生效）,
好調減少,効果を<nobr>3倍</nobr>適用）,好调减少,
3,・,3,
</nobr>,好調減少,</nobr>,
6,が<nobr>20ターン以下</nobr>の場合、スキルカード使用後2回ごとに、,6,
効果を<nobr>4倍</nobr>適用）,6,效果会<nobr>4倍</nobr>生效）,
好調減少,効果を<nobr>4倍</nobr>適用）,好调减少,
7,が<nobr>20ターン以下</nobr>の場合、スキルカード使用後2回ごとに、,7,
効果を<nobr>4倍</nobr>適用）,7,效果会<nobr>4倍</nobr>生效）,
9,が<nobr>20ターン以下</nobr>の場合、スキルカード使用後2回ごとに、,9,
効果を<nobr>4倍</nobr>適用）,9,效果会<nobr>4倍</nobr>生效）,
パラメータ,好調,打分,
3,パラメータ,3,
体力回復,+,体力回复,
<nobr>,4,<nobr>,
<nobr>,6,<nobr>,
（,12,（,
ターン</nobr>,3,回合</nobr>,
2,絶好調,2,
200,の<nobr>,200,
%</nobr>分,200,%</nobr>数值变为,
250,の<nobr>,250,
%</nobr>分,250,%</nobr>数值变为,
300,の<nobr>,300,
%</nobr>分,300,%</nobr>数值变为,
<nobr>+,元気,<nobr>+,
6,<nobr>+,6,
</nobr>（,6,</nobr>（,
<nobr>+,体力が<nobr>50%以下</nobr>の場合、,<nobr>+,
4,元気,4,
8,<nobr>+,8,
</nobr>（,8,</nobr>（,
7,元気,7,
9,<nobr>+,9,
</nobr>（,9,</nobr>（,
効果を<nobr>2.3倍</nobr>適用）,集中,效果会<nobr>2.3倍</nobr>生效）,
8,元気,8,
11,<nobr>+,11,
</nobr>（,11,</nobr>（,
効果を<nobr>2.4倍</nobr>適用）,集中,效果会<nobr>2.4倍</nobr>生效）,
9,元気,9,
2,<nobr>+,2,
</nobr>,2,</nobr>,
12,パラメータ,12,
効果を<nobr>2.5倍</nobr>適用）,集中,效果会<nobr>2.5倍</nobr>生效）,
28,<nobr>+,28,
</nobr>（,28,</nobr>（,
32,<nobr>+,32,
</nobr>（,32,</nobr>（,
34,+,34,
48,+,48,
49,+,49,
14,パラメータ,14,
18,<nobr>+,18,
</nobr>,18,</nobr>,
20,パラメータ,20,
22,<nobr>+,22,
</nobr>,22,</nobr>,
23,パラメータ,23,
25,<nobr>+,25,
</nobr>,25,</nobr>,
26,パラメータ,26,
4,体力回復,4,
5,体力回復,5,
7,パラメータ,7,
9,パラメータ,9,
5,絶好調,5,
6,<nobr>,6,
ターン</nobr>,6,回合</nobr>,
アクティブスキルカード,次に使用する,主动技能卡,
の効果をもう<nobr>,アクティブスキルカード,的效果再发动<nobr>,
1,の効果をもう<nobr>,1,
回</nobr>発動（<nobr>,1,次</nobr>（<nobr>,
1,回</nobr>発動（<nobr>,1,
回</nobr>・<nobr>,1,次</nobr>・<nobr>,
1,回</nobr>・<nobr>,1,
ターン</nobr>）,1,回合</nobr>）,
5,好調,5,
</nobr>（,5,</nobr>（,
6,元気,6,
効果を<nobr>2.6倍</nobr>適用）,集中,效果会<nobr>2.6倍</nobr>生效）,
12,元気,12,
13,元気,13,
13,<nobr>+,13,
</nobr>（,13,</nobr>（,
16,元気,16,
3,（,3,
回）,3,次）,
（,14,（,
（,17,（,
（,19,（,
200,好調,200,
%</nobr>分,の<nobr>,%</nobr>数值变为,
パラメータ,200,打分,
上昇,%</nobr>分,上升,
300,好調,300,
パラメータ,300,打分,
350,好調,350,
パラメータ,350,打分,
400,好調,400,
パラメータ,400,打分,
スキルカードを引く,1,抽取技能卡,
ターン</nobr>,5,回合</nobr>,
好調,以降、,好调,
3,<nobr>+,3,
ターン終了時、,3,回合结束时，,
パラメータ,ターン</nobr>の間、,打分,
<nobr>+,ターン終了時、,<nobr>+,
4,パラメータ,4,
ターン終了時、,5,回合结束时，,
1,消費体力減少,1,
消費体力減少,</nobr>,消耗体力减少,
</nobr>,6,</nobr>,
が4ターン以上の場合、使用可,が<nobr>4ターン以上</nobr>の場合、使用可,在4回合以上的时候，可以使用,
55,パラメータ,55,
好調,55,好调,
<nobr>+,最終ターンのターン終了時、,<nobr>+,
集中,15,集中,
</nobr>,8,</nobr>,
18,パラメータ,18,
集中,18,集中,
</nobr>,9,</nobr>,
集中,20,集中,
が6以上の場合、使用可,が<nobr>6以上</nobr>の場合、使用可,在6以上的时候，可以使用,
倍,集中,倍,
次のターン、,倍,下个回合，,
9,次のターン、,9,
</nobr>（<nobr>,パラメータ,</nobr>（<nobr>,
回</nobr>・,9,次</nobr>・,
集中,</nobr>（<nobr>,集中,
効果を<nobr>1.5倍</nobr>適用）,3,效果会<nobr>1.5倍</nobr>生效）,
 ,回</nobr>・, ,
12,次のターン、,12,
回</nobr>・,12,次</nobr>・,
効果を<nobr>1.7倍</nobr>適用）,3,效果会<nobr>1.7倍</nobr>生效）,
14,次のターン、,14,
回</nobr>・,14,次</nobr>・,
効果を<nobr>2倍</nobr>適用）,3,效果会<nobr>2倍</nobr>生效）,
100,好調,100,
パラメータ,100,打分,
スキルカード使用数追加,1,技能卡使用数追加,
<nobr>+,ターン</nobr>,<nobr>+,
150,好調,150,
パラメータ,150,打分,
スキルカード使用数追加,3,技能卡使用数追加,
スキルカード使用数追加,4,技能卡使用数追加,
スキルカード使用数追加,好調,技能卡使用数追加,
<nobr>+,が<nobr>4ターン以上</nobr>の場合、,<nobr>+,
1,次のターン、,1,
 ,<nobr>+, ,
が12ターン以上の場合、, ,在12回合以上的时候，,
ターン</nobr>後、,好調,回合</nobr>后，,
スキルカード使用数追加,が<nobr>12ターン以上</nobr>の場合、,技能卡使用数追加,
1,2,1,
</nobr>,ターン</nobr>後、,</nobr>,
 ,スキルカード使用数追加, ,
スキルカードが除外に移動した時、,以降、,技能卡被移动到除外时，,
好調,スキルカードが除外に移動した時、,好调,
</nobr>（,7,</nobr>（,
</nobr>（,22,</nobr>（,
直接効果,以降、,直接效果,
で,直接効果,使,
集中,で,集中,
が7以上増加後、,集中,增加7以上后，,
パラメータ,が7以上増加後、,打分,
</nobr>（,12,</nobr>（,
</nobr>（,14,</nobr>（,
ターン</nobr>後、,<nobr>,回合</nobr>后，,
好調,3,好调,
 ,5, ,
スキルカード使用数追加,<nobr>,技能卡使用数追加,
<nobr>+,4,<nobr>+,
1,ターン</nobr>後、,1,
7,好調,7,
 ,7, ,
8,好調,8,
 ,8, ,
メンタルスキルカード,以降、,辅助技能卡,
使用時、,メンタルスキルカード,使用时，,
集中,使用時、,集中,
集中,メンタルスキルカード,集中,
1,絶好調,1,
絶好調,ターン</nobr>,绝好调,
の<nobr>,絶好調,的<nobr>,
350,が<nobr>5ターン以上</nobr>の場合、,350,
%</nobr>分,好調,%</nobr>数值变为,
パラメータ,の<nobr>,打分,
上昇,350,上升,
1100,の<nobr>,1100,
%</nobr>分,1100,%</nobr>数值变为,
好調,させ、,好调,
を0にする,好調,变为0,
1300,の<nobr>,1300,
%</nobr>分,1300,%</nobr>数值变为,
1400,の<nobr>,1400,
%</nobr>分,1400,%</nobr>数值变为,
100,の<nobr>,100,
%</nobr>分,100,%</nobr>数值变为,
集中,%</nobr>分,集中,
増加,集中,增加,
120,の<nobr>,120,
%</nobr>分,120,%</nobr>数值变为,
130,の<nobr>,130,
%</nobr>分,130,%</nobr>数值变为,
<nobr>,パラメータ上昇量増加,<nobr>,
10,<nobr>,10,
%</nobr>,10,%</nobr>,
75,パラメータ,75,
好調,75,好调,
<nobr>+,が<nobr>10以上</nobr>の場合、,<nobr>+,
集中,40,集中,
効果を<nobr>5倍</nobr>適用）,</nobr>（,效果会<nobr>5倍</nobr>生效）,
67,パラメータ,67,
集中,67,集中,
効果を<nobr>5.5倍</nobr>適用）,</nobr>（,效果会<nobr>5.5倍</nobr>生效）,
80,パラメータ,80,
集中,80,集中,
効果を<nobr>6倍</nobr>適用）,</nobr>（,效果会<nobr>6倍</nobr>生效）,
90,パラメータ,90,
集中,90,集中,
効果を<nobr>6.5倍</nobr>適用）,</nobr>（,效果会<nobr>6.5倍</nobr>生效）,
除外にあるスキルカードが4枚以上の場合、,</nobr>,除外中的技能卡在4张以上的时候，,
5,除外にあるスキルカードが<nobr>4枚以上</nobr>の場合、,5,
10,除外にあるスキルカードが<nobr>4枚以上</nobr>の場合、,10,
17,除外にあるスキルカードが<nobr>4枚以上</nobr>の場合、,17,
の<nobr>,次のターン、,的<nobr>,
 ,上昇, ,
8,<nobr>,8,
ターン</nobr>,8,回合</nobr>,
9,<nobr>,9,
ターン</nobr>,9,回合</nobr>,
回</nobr>発動（<nobr>,次に使用するスキルカードの効果をもう<nobr>,次</nobr>（<nobr>,
回</nobr>）,回</nobr>発動（<nobr>,次</nobr>）,
山札か捨札にあるスキルカードを<nobr>1枚</nobr>選択し、コストを消費せず使用,回</nobr>）,选择牌堆或弃牌中的<nobr>1张</nobr>技能卡，直接就能用！没有任何代价！,
<nobr>,山札か捨札にあるスキルカードを<nobr>1枚</nobr>選択し、コストを消費せず使用,<nobr>,
好調,集中,好调,
<nobr>,が<nobr>3以上</nobr>の場合、,<nobr>,
<nobr>+,好調増加量増加,<nobr>+,
%</nobr>,25,%</nobr>,
25,集中増加量増加,25,
%</nobr>,<nobr>+,%</nobr>,
スキルカード使用数追加,%</nobr>,技能卡使用数追加,
以降、,1,以后，,
ターンスキップ時、,</nobr>,跳过回合时，,
パラメータ上昇量増加,以降、,打分上升量增加,
<nobr>,ターンスキップ時、,<nobr>,
%</nobr>（<nobr>,次のターン、,%</nobr>（<nobr>,
1,パラメータ上昇量増加,1,
ターン</nobr>）,<nobr>,回合</nobr>）,
・,110,・,
スキルカード使用数追加,%</nobr>（<nobr>,技能卡使用数追加,
<nobr>+,1,<nobr>+,
1,ターン</nobr>）,1,
</nobr>,・,</nobr>,
・,スキルカード使用数追加,・,
スキルカードを<nobr>,<nobr>+,技能卡抽取<nobr>,
2,1,2,
枚</nobr>引く,</nobr>,张</nobr>,
2,枚</nobr>引く,2,
アクティブスキルカード,<nobr>,主动技能卡,
使用不可<nobr>（,2,不可使用<nobr>（,
ターン）</nobr>,アクティブスキルカード,回合）</nobr>,
 ,使用不可<nobr>（, ,
<nobr>,枚</nobr>引く,<nobr>,
 ,<nobr>, ,
6,好調,6,
固定元気,アクティブスキルカード,固定元气,
2,固定元気,2,
集中,アクティブスキルカード,集中,
11,集中,11,
を,スキルカードを引く,向,
生成,眠気,生成,
<nobr>,に,<nobr>,
重複不可,生成,不可重复,
ターン開始後、,以降の<nobr>,回合开始后，,
好調,スキルカードを引く,好调,
20,が<nobr>15ターン以下</nobr>の場合、,20,
%</nobr>（<nobr>,集中強化,%</nobr>（<nobr>,
ターン</nobr>）,20,回合</nobr>）,
眠気,1,睡意,
を,</nobr>,向,
1,次に使用するスキルカードの効果をもう<nobr>,1,
スキルカード使用数追加,回</nobr>）,技能卡使用数追加,
ランダムな山札か捨札にあるスキルカード（SSR）3枚を,</nobr>,牌堆或弃牌中的随机3张技能卡（SSR）向,
次のターン、,山札の一番上,下个回合，,
スキルカード使用数追加,に移動,技能卡使用数追加,
</nobr>,次のターン、,</nobr>,
集中,以降、,集中,
が3以上の場合、,ターン終了時、,在3以上的时候，,
が3以上の場合、,以降、,在3以上的时候，,
集中,ターン終了時、,集中,
2,が<nobr>3以上</nobr>の場合、,2,
</nobr>,集中,</nobr>,
6,消費体力減少,6,
体力が50%以上の場合、,</nobr>,体力在50%以上的时候，,
 ,体力が<nobr>50%以上</nobr>の場合、, ,
次のターン、,集中,下个回合，,
手札をすべて,が<nobr>3以上</nobr>の場合、,全部手牌在,
33,+,33,
2,が<nobr>4ターン以上</nobr>の場合、,2,
体力回復,2,体力回复,
 ,4, ,
6,体力回復,6,
8,体力回復,8,
57,+,57,
2,体力回復,2,
ターン</nobr>,1,回合</nobr>,
スキルカード使用数追加,手札をすべて入れ替える,技能卡使用数追加,
50,集中増加量増加,50,
%</nobr>（<nobr>,<nobr>+,%</nobr>（<nobr>,
3,50,3,
ターン</nobr>）,%</nobr>（<nobr>,回合</nobr>）,
好調,ターン</nobr>）,好调,
4,次のターン、,4,
6,次のターン、,6,
8,次のターン、,8,
パラメータ,が<nobr>15以上</nobr>の場合、,打分,
好調,4,好调,
 ,効果を<nobr>2倍</nobr>適用）, ,
好調, ,好调,
ターン</nobr>後、,が<nobr>12ターン以上</nobr>の場合、,回合</nobr>后，,
パラメータ,<nobr>,打分,
<nobr>+,2,<nobr>+,
4,ターン</nobr>後、,4,
効果を<nobr>2倍</nobr>適用）,4,效果会<nobr>2倍</nobr>生效）,
 ,集中, ,
8,パラメータ,8,
好調,8,好调,
8,ターン</nobr>後、,8,
効果を<nobr>2倍</nobr>適用）,8,效果会<nobr>2倍</nobr>生效）,
好調,9,好调,
9,ターン</nobr>後、,9,
効果を<nobr>2倍</nobr>適用）,9,效果会<nobr>2倍</nobr>生效）,
10,ターン</nobr>後、,10,
効果を<nobr>2倍</nobr>適用）,10,效果会<nobr>2倍</nobr>生效）,
<nobr>+,好印象,<nobr>+,
100,好印象,100,
120,好印象,120,
パラメータ,120,打分,
の<nobr>,元気,的<nobr>,
110,の<nobr>,110,
%</nobr>分,110,%</nobr>数值变为,
140,の<nobr>,140,
%</nobr>分,140,%</nobr>数值变为,
の<nobr>,好印象,的<nobr>,
100,元気,100,
120,元気,120,
120,やる気,120,
150,やる気,150,
150,の<nobr>,150,
%</nobr>分,150,%</nobr>数值变为,
3,好印象,3,
4,好印象,4,
<nobr>+,やる気,<nobr>+,
60,元気,60,
パラメータ,60,打分,
80,元気,80,
パラメータ,80,打分,
3,やる気,3,
4,やる気,4,
が30以上の場合、使用可,が<nobr>30以上</nobr>の場合、使用可,在30以上的时候，可以使用,
元気,ターン</nobr>の間、,元气,
の<nobr>,ターン開始時、,的<nobr>,
ターン開始時、,4,回合开始时，,
60,好印象,60,
好印象,除外以外にある,好印象,
の<nobr>,トラブルカード,的<nobr>,
40,が<nobr>2枚以上</nobr>の場合、,40,
%</nobr>分,好印象,%</nobr>数值变为,
上昇,40,上升,
80,好印象,80,
2,やる気,2,
元気,除外以外にある,元气,
50,が<nobr>2枚以上</nobr>の場合、,50,
%</nobr>分,元気,%</nobr>数值变为,
上昇,50,上升,
12,好印象,12,
好印象,</nobr>,好印象,
上昇,250,上升,
スキルカード使用数追加,上昇,技能卡使用数追加,
次のターン、,<nobr>+,下个回合，,
元気,レッスン,元气,
の<nobr>,中に消費した,的<nobr>,
400,元気,400,
元気,移動時効果,元气,
<nobr>+,：手札に移動した時、
,<nobr>+,
</nobr>,元気,</nobr>,
元気,させ、,元气,
を半分にする,元気,变为一半,
180,の<nobr>,180,
%</nobr>分,180,%</nobr>数值变为,
230,の<nobr>,230,
%</nobr>分,230,%</nobr>数值变为,
90,好印象,90,
パラメータ,90,打分,
40,元気,40,
パラメータ,40,打分,
70,元気,70,
パラメータ,70,打分,
200,好印象,200,
ターン</nobr>,消費体力増加,回合</nobr>,
250,好印象,250,
パラメータ,250,打分,
90,の<nobr>,90,
%</nobr>分,90,%</nobr>数值变为,
160,の<nobr>,160,
%</nobr>分,160,%</nobr>数值变为,
170,好印象,170,
パラメータ,170,打分,
200,やる気,200,
300,やる気,300,
</nobr>,11,</nobr>,
が7以上の場合、使用可,が<nobr>7以上</nobr>の場合、使用可,在7以上的时候，可以使用,
320,元気,320,
パラメータ,320,打分,
させ、,上昇,，,
を0にする,させ、,变为0,
420,元気,420,
パラメータ,420,打分,
460,元気,上升,
パラメータ,460,打分,
14,元気,14,
元気,</nobr>,元气,
上昇,140,上升,
やる気,上昇,干劲,
パラメータ,やる気,打分,
