旧值,新值,旧翻译,新翻译
使用時、体力が50%以上の場合、,使用時、体力が<nobr>50%以上</nobr>の場合、,使用时，体力在50%以上的时候，,
が7以上の場合、,が<nobr>7以上</nobr>の場合、,在7以上的时候，,
が5以上の場合、,が<nobr>5以上</nobr>の場合、,在5以上的时候，,
ターン終了時、体力が50%以上の場合、,ターン終了時、体力が<nobr>50%以上</nobr>の場合、,回合结束时，体力在50%以上的时候，,
が増加後、体力が50%以上の場合、,が増加後、体力が<nobr>50%以上</nobr>の場合、,增加后，体力在50%以上的时候，,
残り2ターン以内のターン開始時、,残り<nobr>2ターン以内</nobr>のターン開始時、,剩余2回合内的回合开始时，,
残り3ターン以内のターン開始時、,残り<nobr>3ターン以内</nobr>のターン開始時、,剩余3回合内的回合开始时，,
開始時、スキルカード（R以上）が21枚以上の場合、,開始時、スキルカード（R以上）が<nobr>21枚以上</nobr>の場合、,开始时，技能卡（R以上）在21张以上的时候，,
が4ターン以上の場合、,が<nobr>4ターン以上</nobr>の場合、,在4回合以上的时候，,
が6ターン以上の場合、,が<nobr>6ターン以上</nobr>の場合、,在6回合以上的时候，,
残り3ターン以内の場合、スキルカード（SSR）使用時、,残り<nobr>3ターン以内</nobr>の場合、スキルカード（SSR）使用時、,剩余3回合内的时候，技能卡（SSR）使用时，,
が15ターン以上の場合、,が<nobr>15ターン以上</nobr>の場合、,在15回合以上的时候，,
が10ターン以上の場合、,が<nobr>10ターン以上</nobr>の場合、,在10回合以上的时候，,
ターン開始後、体力が50%以下の場合、,ターン開始後、体力が<nobr>50%以下</nobr>の場合、,回合开始后，体力在50%以下的时候，,
が1以上の場合、,が<nobr>1以上</nobr>の場合、,在1以上的时候，,
使用時、体力が50%以下の場合、,使用時、体力が<nobr>50%以下</nobr>の場合、,使用时，体力在50%以下的时候，,
が8以上の場合、スキルカードを2回使用するごとに、,が<nobr>8以上</nobr>の場合、スキルカードを2回使用するごとに、,在8以上的时候，每使用2次技能卡，,
が3以上の場合、スキルカードを2回使用するごとに、,が<nobr>3以上</nobr>の場合、スキルカードを2回使用するごとに、,在3以上的时候，每使用2次技能卡，,
が13以上の場合、,が<nobr>13以上</nobr>の場合、,在13以上的时候，,
残り3ターン以内のターン開始後、,残り<nobr>3ターン以内</nobr>のターン開始後、,剩余3回合内的回合开始后，,
ターン開始後、山札か捨札にあるスキルカードが12枚以上の場合、,ターン開始後、山札か捨札にあるスキルカードが<nobr>12枚以上</nobr>の場合、,回合开始后，牌堆或弃牌中的技能卡在12张以上的时候，,
ターン開始時、除外にあるスキルカードが7枚以上の場合、,ターン開始時、除外にあるスキルカードが<nobr>7枚以上</nobr>の場合、,回合开始时，除外中的技能卡在7张以上的时候，,
が10以上の場合、,が<nobr>10以上</nobr>の場合、,在10以上的时候，,
ターン開始後、体力が25%以下の場合、,ターン開始後、体力が<nobr>25%以下</nobr>の場合、,回合开始后，体力在25%以下的时候，,
が30以上の場合、,が<nobr>30以上</nobr>の場合、,在30以上的时候，,
2ターンごとのターン終了時、除外にあるスキルカードが8枚以下の場合、,2ターンごとのターン終了時、除外にあるスキルカードが<nobr>8枚以下</nobr>の場合、,每2回合的回合结束时，除外中的技能卡在8张以下的时候，,
使用後、体力が50%以下の場合、,使用後、体力が<nobr>50%以下</nobr>の場合、,使用后，体力在50%以下的时候，,
にあるスキルカードが1枚以上の場合、,にあるスキルカードが<nobr>1枚以上</nobr>の場合、,中的技能卡在1张以上的时候，,
になった回数が1回以上の場合、,になった回数が<nobr>1回以上</nobr>の場合、,存在次数在1次以上的时候，,
を変更した回数が4回以上の場合、,を変更した回数が<nobr>4回以上</nobr>の場合、,变更次数在4次以上的时候，,
になった回数が3回以上の場合、,になった回数が<nobr>3回以上</nobr>の場合、,存在次数在3次以上的时候，,
が50以上の場合、,が<nobr>50以上</nobr>の場合、,在50以上的时候，,
が1枚以上の場合、,が<nobr>1枚以上</nobr>の場合、,在1张以上的时候，,
ターン開始後、山札か捨札にあるスキルカードが18枚以上の場合、,ターン開始後、山札か捨札にあるスキルカードが<nobr>18枚以上</nobr>の場合、,回合开始后，牌堆或弃牌中的技能卡在18张以上的时候，,
すべてのスキルカードの,以降の試験開始時のみ、,所有的技能卡的,
パラメータ値増加,すべてのスキルカードの,打分值增加,
+1,パラメータ値増加,+1,
 ,+1, ,
残り5ターン以内のターン開始時、,残り<nobr>5ターン以内</nobr>のターン開始時、,剩余5回合内的回合开始时，,
残り6ターン以内のターン開始時、,残り<nobr>6ターン以内</nobr>のターン開始時、,剩余6回合内的回合开始时，,
が7枚以上の場合、,が<nobr>7枚以上</nobr>の場合、,在7张以上的时候，,
が80以上の場合、,が<nobr>80以上</nobr>の場合、,在80以上的时候，,
になった回数が4回以上の場合、,になった回数が<nobr>4回以上</nobr>の場合、,存在次数在4次以上的时候，,
が25以上の場合、,が<nobr>25以上</nobr>の場合、,在25以上的时候，,
<nobr>,2,<nobr>,
2,ターン</nobr>後、,2,
ターン</nobr>後、,アクティブスキルカード,回合</nobr>后，,
アクティブスキルカード,使用不可<nobr>（,主动技能卡,
使用不可<nobr>（,1,不可使用<nobr>（,
1,ターン）</nobr>,1,
ターン）</nobr>, ,回合）</nobr>,
が230以上の場合、,が<nobr>230以上</nobr>の場合、,在230以上的时候，,
が12ターン以上の場合、,が<nobr>12ターン以上</nobr>の場合、,在12回合以上的时候，,
が55以上の場合、,が<nobr>55以上</nobr>の場合、,在55以上的时候，,
